slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
size1000_rep1,1000,1,data_splitting,23034981,tcn1061,genoa,8.89924,337.576,209.682,0,0.312731,9.16144,1.6e-05,18.5,0.524876,2376000,0,0,0,,
size1000_rep1,1000,1,string_normalization,23034988,tcn1078,genoa,6.53918,504.62,210.367,0,0.163602,4.00557,2.1e-05,27.5,0.409416,2376000,0,0,0,,
size1000_rep1,1000,1,heuristic_filtering,23035604,tcn742,genoa,15.4844,272.904,221.876,0,0.353332,12.1161,0.004297,54,0.388482,2376000,0,0,0,,
size1000_rep2,1000,2,data_splitting,23035003,tcn897,genoa,2.22607,373.554,218.37,0,0.454627,24.3837,4e-05,50,0.521462,2376000,0,0,0,,
size1000_rep2,1000,2,string_normalization,23035005,tcn742,genoa,8.02722,427.985,223.44,0,0.758447,4.55726,2.3e-05,29.5,0.399139,2376000,0,0,0,,
size1000_rep2,1000,2,heuristic_filtering,23035620,tcn743,genoa,8.67125,284.644,225.739,0,1.41506,21.1239,0.008141,87,0.388527,2376000,0,0,0,,
size100000_rep1,100000,1,data_splitting,23034940,tcn1040,genoa,11.8464,497.357,218.95,0,0.211084,42.2379,0.000351,73,0.339354,2376000,0,0,0,,
size100000_rep1,100000,1,string_normalization,23034942,tcn1061,genoa,95.5238,545.906,225.98,0,0.0868705,2.81764,9.6e-05,87,0.311727,2376000,0,0,0,,
size100000_rep1,100000,1,heuristic_filtering,23035564,tcn742,genoa,591.32,271.703,221.606,0,0.155088,0.853588,0.012143,97,0.360097,2376000,0,0,0,,
size100000_rep2,100000,2,data_splitting,23034960,tcn1059,genoa,13.2024,512.272,211.782,0,0.136787,35.6478,0.000298,62.5,0.344835,2376000,0,0,0,,
size100000_rep2,100000,2,string_normalization,23034963,tcn1041,genoa,95.3319,575.073,221.533,0,0.127695,2.75629,9.4e-05,86.5,0.314283,2376000,0,0,0,,
size100000_rep2,100000,2,heuristic_filtering,23035586,tcn744,genoa,604.06,278.108,224.365,0,0.125608,0.835484,0.011878,95,0.36086,2376000,0,0,0,,
size1400000_rep1,1400000,1,data_splitting,23035024,tcn897,genoa,96.1128,566.298,222.068,0,0.852886,46.1704,0.0005065,94,0.326987,2376000,0,0,0,,
size1400000_rep1,1400000,1,string_normalization,23035026,tcn1061,genoa,960.57,581.167,225.569,0,0.122149,2.83594,0.000124,96.5,0.31628,2376000,0,0,0,,
size1400000_rep1,1400000,1,heuristic_filtering,23035636,tcn742,genoa,7580.94,272.207,221.79,0,0.165241,0.557732,0.011548,97,0.365231,2376000,0,0,0,,
size1400000_rep2,1400000,2,data_splitting,23035039,tcn1073,genoa,92.6758,597.377,224.828,0,0.592492,48.0511,0.0005265,97.5,0.326496,2376000,0,0,0,,
size1400000_rep2,1400000,2,string_normalization,23035041,tcn1059,genoa,974.233,602.463,223.341,0,0.172061,2.78629,0.000122,95.5,0.316772,2376000,0,0,0,,
size1400000_rep2,1400000,2,heuristic_filtering,23035654,tcn744,genoa,7502.57,278.549,224.657,0,0.193236,0.563538,0.011698,98,0.363873,2376000,0,0,0,,
size400000_rep1,400000,1,data_splitting,23035055,tcn1040,genoa,35.1992,518.383,221.038,0,0.340815,45.8376,0.000427,82,0.330837,2376000,0,0,0,,
size400000_rep1,400000,1,string_normalization,23035057,tcn742,genoa,361.166,530.539,218.79,0,0.102155,2.71992,9.95e-05,92.5,0.323019,2376000,0,0,0,,
size400000_rep1,400000,1,heuristic_filtering,23035673,tcn743,genoa,2359.1,297.162,225.44,0,0.216828,0.622184,0.012136,98,0.362141,2376000,0,0,0,,
size400000_rep2,400000,2,data_splitting,23035081,tcn1078,genoa,29.3159,580.004,221.284,0,0.287748,52.2446,0.000489,93.5,0.332498,2376000,0,0,0,,
size400000_rep2,400000,2,string_normalization,23035083,tcn1078,genoa,332.296,581.557,219.34,0,0.08946,2.83662,0.000104,93,0.310711,2376000,0,0,0,,
size400000_rep2,400000,2,heuristic_filtering,23035690,tcn757,genoa,2393.48,290.173,219.883,0,0.191091,0.613273,0.011935,97,0.36394,2376000,0,0,0,,
