slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amd_n1_size10000_rep1,10000,1,data_splitting,23841820,tcn801,genoa,5.38619,294.197,233.827,0,3.68232,10.197,7.4e-05,28,0.424468,2376000,0,0,0,,
amd_n1_size10000_rep1,10000,1,string_normalization,23841822,tcn801,genoa,10.8074,393.004,295.809,0,101.794,4.24121,8.4e-05,79,0.322012,2376000,0,0,0,,
amd_n1_size10000_rep1,10000,1,heuristic_filtering,23841824,tcn1086,genoa,67.06,391.358,303.109,0,66.5913,3.16904,0.010611,89,0.361931,2376000,0,0,0,,
amd_n1_size10000_rep1,10000,1,deduplication,23841826,tcn587,genoa,13.0805,1570.8,280.252,0,142.596,7.0422,2.45333e-05,31.8667,0.532373,2.27638e+06,0,0,0,,
amd_n1_size10000_rep2,10000,2,data_splitting,23841851,tcn1046,genoa,6.12522,596.076,446.445,0,327.875,8.96666,6.4e-05,26,0.425635,2376000,0,0,0,,
amd_n1_size10000_rep2,10000,2,string_normalization,23841853,tcn1058,genoa,12.5974,530.906,444.807,0,118.581,3.63979,7.2e-05,69,0.328942,2376000,0,0,0,,
amd_n1_size10000_rep2,10000,2,heuristic_filtering,23841877,tcn1095,genoa,64.1831,595.967,429.691,0,356.945,3.31102,0.011446,93,0.361418,2376000,0,0,0,,
amd_n1_size10000_rep2,10000,2,deduplication,23842161,tcn1241,genoa,14.2695,1611.18,266.655,0,111.564,8.73526,2.57059e-05,38.1176,0.538618,2.2827e+06,0,0,0,,
amd_n1_size10000_rep3,10000,3,data_splitting,23841900,tcn1086,genoa,5.43316,166,142,0,0,10.1088,7.3e-05,28,0.415165,2695255,0,0,0,,
amd_n1_size10000_rep3,10000,3,string_normalization,23841904,tcn1101,genoa,10.2793,316.496,230.205,0,9.70717,4.45911,8.6e-05,84,0.323949,2376000,0,0,0,,
amd_n1_size10000_rep3,10000,3,heuristic_filtering,23841906,tcn749,genoa,67.041,572.461,419.058,0,363.346,3.16989,0.01082,90,0.361823,2376000,0,0,0,,
amd_n1_size10000_rep3,10000,3,deduplication,23841908,tcn760,genoa,13.5095,1147.95,161.708,0,46.4643,7.04075,2.19412e-05,31.0588,0.53171,2.13267e+06,0,0,0,,
amd_n1_size1000_rep1,1000,1,data_splitting,23841931,tcn1101,genoa,2.92708,0,0,0,0,15.2087,2.4e-05,32,0.529996,0,0,0,0,,
amd_n1_size1000_rep1,1000,1,string_normalization,23841933,tcn760,genoa,5.16319,480.323,400.325,0,52.085,4.84672,2.5e-05,32,0.403943,2376000,0,0,0,,
amd_n1_size1000_rep1,1000,1,heuristic_filtering,23841935,tcn762,genoa,12.6635,510.531,393.108,0,368.425,14.4657,0.005558,61,0.393867,2376000,0,0,0,,
amd_n1_size1000_rep1,1000,1,deduplication,23841937,tcn760,genoa,4.58017,1629.72,130.529,0,57.7942,9.18169,2.19333e-05,36.3333,0.560843,1.98316e+06,0,0,0,,
amd_n1_size1000_rep2,1000,2,data_splitting,23841962,tcn585,genoa,3.70114,509.548,252.645,0,53.9465,12.0279,2.1e-05,26,0.516887,2376000,0,0,0,,
amd_n1_size1000_rep2,1000,2,string_normalization,23841964,tcn777,genoa,6.85026,628.329,424.265,0,384.434,3.65308,1.8e-05,25,0.421167,2376000,0,0,0,,
amd_n1_size1000_rep2,1000,2,heuristic_filtering,23841966,tcn759,genoa,13.6465,617.199,457.289,0,169.609,13.4237,0.005127,56,0.392043,2376000,0,0,0,,
amd_n1_size1000_rep2,1000,2,deduplication,23841973,tcn1089,genoa,5.98822,2336.55,183.66,0,5.30551,6.87012,1.72353e-05,27.4118,0.563615,2793549,0,0,0,,
amd_n1_size1000_rep3,1000,3,data_splitting,23842010,tcn768,genoa,2.53308,301.878,296.625,0,85.5586,17.5742,3e-05,37,0.52988,2376000,0,0,0,,
amd_n1_size1000_rep3,1000,3,string_normalization,23842012,tcn758,genoa,3.37311,799.676,386.178,0,340.532,7.41884,3.8e-05,49,0.392468,2376000,0,0,0,,
amd_n1_size1000_rep3,1000,3,heuristic_filtering,23842014,tcn783,genoa,12.2494,173,124,0,4.80467,14.9547,0.005936,62,0.388775,2428596,0,0,0,,
amd_n1_size1000_rep3,1000,3,deduplication,23842016,tcn528,genoa,6.30314,1470.9,218.37,0,87.6905,10.496,2.39412e-05,41.5882,0.568411,2.18302e+06,0,0,0,,
amd_n1_size200000_rep1,200000,1,data_splitting,23842050,tcn768,genoa,17.3256,385.257,298.414,0,66.5458,45.9011,0.000398,79,0.333241,2376000,0,0,0,,
amd_n1_size200000_rep1,200000,1,string_normalization,23842052,tcn762,genoa,160.435,514.004,386.608,0,301.49,3.02688,0.000106,97,0.311884,2376000,0,0,0,,
amd_n1_size200000_rep1,200000,1,heuristic_filtering,23842054,tcn783,genoa,1188.49,423,312,0,158.473,0.699714,0.012116,97,0.357269,2376998,0,0,0,,
amd_n1_size200000_rep1,200000,1,deduplication,23842059,tcn1193,genoa,179.938,555.283,319.3,0,122.786,8.63957,2.92941e-05,44.0588,0.420381,2.26489e+06,0,0,0,,
amd_n1_size200000_rep2,200000,2,data_splitting,23842079,tcn767,genoa,17.6977,605.588,430.16,0,308.593,44.9362,0.000394,79,0.339658,2376000,0,0,0,,
amd_n1_size200000_rep2,200000,2,string_normalization,23842081,tcn783,genoa,162.483,310,231,0,30.7237,2.98881,0.000105,96,0.311559,2390247,0,0,0,,
amd_n1_size200000_rep2,200000,2,heuristic_filtering,23842083,tcn786,genoa,1184.91,497.796,383.551,0,298.685,0.701824,0.012168,97,0.35969,2376000,0,0,0,,
amd_n1_size200000_rep2,200000,2,deduplication,23844870,tcn1089,genoa,177.344,640.123,309.076,0,130.288,9.31362,3.04706e-05,45.7059,0.418638,2.42062e+06,0,0,0,,
amd_n1_size200000_rep3,200000,3,data_splitting,23842124,tcn767,genoa,17.6746,605.995,429.394,0,412.803,44.9947,0.000392,78,0.336367,2376000,0,0,0,,
amd_n1_size200000_rep3,200000,3,string_normalization,23842126,tcn790,genoa,162.665,159,126,0,0.254607,2.98559,0.000105,96,0.31345,2391413,0,0,0,,
amd_n1_size200000_rep3,200000,3,heuristic_filtering,23842128,tcn760,genoa,1208.46,517,408,0,175.014,0.688178,0.011948,97,0.36086,2376852,0,0,0,,
amd_n1_size200000_rep3,200000,3,deduplication,23845716,tcn1055,genoa,175.354,628.256,305.063,0,58.5069,9.16015,3.26471e-05,45.8235,0.416651,2.29567e+06,0,0,0,,
amd_n1_size50000_rep1,50000,1,data_splitting,23842163,tcn768,genoa,5.74923,322.263,297.203,0,163.374,39.72,0.00031,70,0.353138,2376000,0,0,0,,
amd_n1_size50000_rep1,50000,1,string_normalization,23842165,tcn790,genoa,43.3464,78,64,0,0.074217,3.15834,9.9e-05,90,0.313258,2398467,0,0,0,,
amd_n1_size50000_rep1,50000,1,heuristic_filtering,23842167,tcn743,genoa,300.342,205,156,0,66.522,1.13821,0.011954,96,0.359986,2378466,0,0,0,,
amd_n1_size50000_rep1,50000,1,deduplication,23842913,tcn743,genoa,48.019,989.962,338.044,0,158.705,6.36329,2.4e-05,31.2,0.484621,2.63725e+06,0,0,0,,
amd_n1_size50000_rep2,50000,2,data_splitting,23842181,tcn768,genoa,4.14316,362.981,297.907,0,76.9119,55.1172,0.00043,97,0.351367,2376000,0,0,0,,
amd_n1_size50000_rep2,50000,2,string_normalization,23842183,tcn790,genoa,41.6713,78,63,0,0.062798,3.28492,0.000103,93,0.310972,2421111,0,0,0,,
amd_n1_size50000_rep2,50000,2,heuristic_filtering,23842185,tcn613,genoa,296.284,565.685,405.495,0,355.733,1.1538,0.012025,96,0.360825,2376000,0,0,0,,
amd_n1_size50000_rep2,50000,2,deduplication,23843452,tcn1054,genoa,47.2275,924.315,291.073,0,119.103,6.62451,2.28235e-05,31.5294,0.483372,2324744,0,0,0,,
amd_n1_size50000_rep3,50000,3,data_splitting,23842207,tcn781,genoa,8.91333,435.577,307.667,0,289.985,25.62,0.000198,46,0.349005,2376000,0,0,0,,
amd_n1_size50000_rep3,50000,3,string_normalization,23842226,tcn790,genoa,40.6903,72,58,0,0.050298,3.36413,0.000106,97,0.312995,2429018,0,0,0,,
amd_n1_size50000_rep3,50000,3,heuristic_filtering,23842228,tcn743,genoa,298.679,200,152,0,61.8027,1.14454,0.012009,97,0.358671,2382031,0,0,0,,
amd_n1_size50000_rep3,50000,3,deduplication,23843419,tcn1055,genoa,48.2146,706.689,273.164,0,137.638,7.32978,2.48235e-05,34.1176,0.489432,2.10134e+06,0,0,0,,
amd_n1_size700000_rep1,700000,1,data_splitting,23842260,tcn768,genoa,51.1828,379.349,293.171,0,147.163,46.3562,0.000472,89,0.331047,2376000,0,0,0,,
amd_n1_size700000_rep1,700000,1,string_normalization,23842262,tcn801,genoa,488.525,328.309,243.343,0,9.60645,2.97198,0.000121,98,0.31231,2376000,0,0,0,,
amd_n1_size700000_rep1,700000,1,heuristic_filtering,23842264,tcn1058,genoa,3897.26,542.597,427.024,0,124.683,0.586207,0.011791,97,0.363576,2376000,0,0,0,,
amd_n1_size700000_rep1,700000,1,deduplication,23847029,tcn1046,genoa,575.942,422.406,260.482,0,127.757,10.5302,3.47333e-05,57.7333,0.372253,2.23135e+06,0,0,0,,
amd_n1_size700000_rep2,700000,2,data_splitting,23842295,tcn585,genoa,49.4799,383.021,282.859,0,150.527,47.9516,0.00049,92,0.328781,2376000,0,0,0,,
amd_n1_size700000_rep2,700000,2,string_normalization,23842297,tcn587,genoa,493.459,487.049,365.668,0,144.328,2.9423,0.00012,97,0.312475,2376000,0,0,0,,
amd_n1_size700000_rep2,700000,2,heuristic_filtering,23842299,tcn1063,genoa,3943.86,519,406,0,99.8028,0.579304,0.011633,97,0.366385,2376683,0,0,0,,
amd_n1_size700000_rep2,700000,2,deduplication,23847056,tcn1046,genoa,571.472,551.764,266.028,0,115.323,10.3042,3.24118e-05,55.6471,0.37125,2.36812e+06,0,0,0,,
amd_n1_size700000_rep3,700000,3,data_splitting,23842362,tcn766,genoa,49.3475,340.645,255.683,0,50.5198,48.0802,0.000491,94,0.335004,2376000,0,0,0,,
amd_n1_size700000_rep3,700000,3,string_normalization,23842364,tcn790,genoa,495.259,348,268,0,145.354,2.93166,0.00012,98,0.313498,2384336,0,0,0,,
amd_n1_size700000_rep3,700000,3,heuristic_filtering,23842366,tcn1066,genoa,3915.92,378.154,307.962,0,23.058,0.583423,0.011744,97,0.362788,2376000,0,0,0,,
amd_n1_size700000_rep3,700000,3,deduplication,23847086,tcn1046,genoa,568.45,601.313,246.997,0,103.823,12.0921,3.62353e-05,63.7059,0.369123,2415829,0,0,0,,
amg_n16_size100000_rep1,100000,1,data_splitting,23826412,tcn1178,genoa,12.3964,2757.88,157.039,0,69.9688,34.5053,0.000353313,73.25,0.337203,2.54099e+06,0,0,0,,
amg_n16_size100000_rep1,100000,1,string_normalization,23826471,tcn528,genoa,84.9062,1521.56,85.4375,0,23.629,3.06717,0.000125187,94.8125,0.315813,2.40153e+06,0,0,0,,
amg_n16_size100000_rep1,100000,1,heuristic_filtering,23826680,tcn564,genoa,621.57,1648.76,85.9703,0,31.973,0.83651,0.0110398,95.125,0.369744,2.37785e+06,0,0,0,,
amg_n16_size100000_rep1,100000,1,deduplication,23828059,tcn1007,genoa,90.7276,4335.66,210.882,0,40.5122,8.8742,0.000101356,81.2444,0.326864,2.50587e+06,0,0,0,,
amg_n16_size400000_rep1,400000,1,data_splitting,23826514,tcn766,genoa,30.732,1044.99,59.1429,0,1.29585,43.3615,0.000474357,90.6429,0.33178,2.42341e+06,0,0,0,,
amg_n16_size400000_rep1,400000,1,string_normalization,23826611,tcn528,genoa,279.409,2638.5,133.443,0,28.4906,2.92579,0.000129062,97.4375,0.314342,2.39017e+06,0,0,0,,
amg_n16_size400000_rep1,400000,1,heuristic_filtering,23827325,tcn528,genoa,2267.56,3315.87,164.858,0,32.4047,0.608736,0.0113307,96.8125,0.368718,2.37654e+06,0,0,0,,
amg_n16_size400000_rep1,400000,1,deduplication,23831411,tcn1041,genoa,321.413,1384.24,126.002,0,38.47,9.73236,0.000133178,92.6,0.321401,2.40647e+06,0,0,0,,
amg_n1_size100000_rep1,100000,1,data_splitting,23826529,tcn766,genoa,7.5652,339,271,0,1.86428,55.3916,0.000466,97,0.343605,2655909,0,0,0,,
amg_n1_size100000_rep1,100000,1,string_normalization,23826531,tcn564,genoa,83.0304,83,63,0,1.20826,3.03776,0.000103,94,0.312432,2420498,0,0,0,,
amg_n1_size100000_rep1,100000,1,heuristic_filtering,23826533,tcn580,genoa,608.917,255,201,0,10.9152,0.828848,0.011719,95,0.362516,2379704,0,0,0,,
amg_n1_size100000_rep1,100000,1,deduplication,23826539,tcn1007,genoa,89.5907,559.046,261.304,0,26.0297,7.48871,2.51765e-05,36.9412,0.453124,2.3733e+06,0,0,0,,
amg_n1_size400000_rep1,400000,1,data_splitting,23826568,tcn766,genoa,30.3018,307.156,231.352,0,1.2061,48.9851,0.000458,88,0.333964,2376000,0,0,0,,
amg_n1_size400000_rep1,400000,1,string_normalization,23826570,tcn580,genoa,313.885,177,139,0,5.89758,2.97959,0.000109,97,0.308826,2396435,0,0,0,,
amg_n1_size400000_rep1,400000,1,heuristic_filtering,23826572,tcn641,genoa,2343.69,286,203,0,0.657756,0.626135,0.012184,97,0.360223,2377324,0,0,0,,
amg_n1_size400000_rep1,400000,1,deduplication,23826574,tcn574,genoa,342.404,389.834,138.841,0,44.0213,9.06003,3.18667e-05,50,0.39187,2.35689e+06,0,0,0,,
amg_n32_size100000_rep1,100000,1,data_splitting,23826790,tcn1190,genoa,12.5674,4047.56,135.53,0,40.3623,35.2968,0.000359286,74.3214,0.338561,2.53512e+06,0,0,0,,
amg_n32_size100000_rep1,100000,1,string_normalization,23827063,tcn1041,genoa,87.2081,6146.82,183.178,0,24.7969,3.02169,0.000124125,94.4062,0.315445,2.39492e+06,0,0,0,,
amg_n32_size100000_rep1,100000,1,heuristic_filtering,23827442,tcn1055,genoa,628.142,4474.77,124.543,0,16.0855,0.856505,0.0113042,96.5625,0.368657,2.37849e+06,0,0,0,,
amg_n32_size100000_rep1,100000,1,deduplication,23828340,tcn1049,genoa,109.512,6183.22,142.949,0,18.4915,8.04934,0.000120304,80.5949,0.325382,2.4297e+06,0,0,0,,
amg_n32_size400000_rep1,400000,1,data_splitting,23826873,tcn567,genoa,27.0739,2356.99,68.4722,0,1.4759,41.521,0.000470969,90.1562,0.331164,2.43693e+06,0,0,0,,
amg_n32_size400000_rep1,400000,1,string_normalization,23827176,tcn1086,genoa,238.381,1919.5,59.5326,0,5.57871,2.98332,0.000135125,96.875,0.313315,2.39296e+06,0,0,0,,
amg_n32_size400000_rep1,400000,1,heuristic_filtering,23827697,tcn1054,genoa,1927.21,2604.33,73.732,0,7.80234,0.640684,0.0112465,96.5,0.370826,2.37681e+06,0,0,0,,
amg_n32_size400000_rep1,400000,1,deduplication,23830747,tcn1049,genoa,282.785,7465.31,198.327,0,58.2214,8.506,0.000134165,92.1772,0.323552,2.39606e+06,0,0,0,,
amg_toxic_size100000,100000,amg_toxic_size100000,data_splitting,23827747,tcn1178,genoa,8.4232,278.103,217.137,0,0.240413,49.7493,0.000415,87,0.341962,2376000,0,0,0,,
amg_toxic_size100000,100000,amg_toxic_size100000,toxic_language_detection,23827749,gcn150,genoa,22.9698,887.473,224.961,0,2.80218,17.4872,0.000332,59,0.400674,2673000,0,66.7505,0,,
amg_toxic_size400000,400000,amg_toxic_size400000,data_splitting,23827835,tcn1178,genoa,29.8617,288.31,218.028,0,1.26945,49.707,0.000464,87,0.328158,2376000,0,0,0,,
amg_toxic_size400000,400000,amg_toxic_size400000,toxic_language_detection,23827837,gcn152,genoa,44.3338,1375.27,228.449,0,11.9549,24.4723,0.00058,82,0.359155,2673000,0,70.2598,0,,
amstsh_size100000_rep1,100000,1,data_splitting,23595323,tcn602,genoa,11.2833,268.805,213.588,0,0,37.1389,0.000312,65,0.34249,2376000,0,0,0,,
amstsh_size100000_rep1,100000,1,string_normalization,23595325,tcn617,genoa,80.7336,526,401,0,318.133,3.12389,0.000106,97,0.311281,2397523,0,0,0,,
amstsh_size100000_rep1,100000,1,heuristic_filtering,23595327,tcn617,genoa,598.19,648.463,487.712,0,373.272,0.84369,0.011962,97,0.362737,2376000,0,0,0,,
amstsh_size100000_rep2,100000,2,data_splitting,23595337,tcn617,genoa,9.98833,610.503,500.5,0,408.444,41.9539,0.000352,74,0.342215,2376000,0,0,0,,
amstsh_size100000_rep2,100000,2,string_normalization,23595340,tcn627,genoa,80.464,702.416,536.125,0,417.376,3.13437,0.000107,98,0.314258,2376000,0,0,0,,
amstsh_size100000_rep2,100000,2,heuristic_filtering,23595342,tcn627,genoa,593.41,689.357,544.152,0,283.075,0.85048,0.012112,97,0.360173,2376000,0,0,0,,
amstsh_size1000_rep1,1000,1,data_splitting,23595353,tcn627,genoa,4.80618,781.868,517.365,0,506.203,9.26244,1.7e-05,21,0.534182,2376000,0,0,0,,
amstsh_size1000_rep1,1000,1,string_normalization,23595355,tcn669,genoa,4.80717,346.843,344.274,0,10.3418,5.20569,2.7e-05,36,0.398531,2376000,0,0,0,,
amstsh_size1000_rep1,1000,1,heuristic_filtering,23595357,tcn671,genoa,13.5304,597.619,465.098,0,197.496,13.5389,0.005044,57,0.39368,2376000,0,0,0,,
amstsh_size1000_rep2,1000,2,data_splitting,23595367,tcn602,genoa,1.06303,279.137,230.777,0,0,41.8666,7.2e-05,83,0.513426,2376000,0,0,0,,
amstsh_size1000_rep2,1000,2,string_normalization,23595369,tcn679,genoa,5.56316,555.243,459.423,0,238.519,4.49826,2.2e-05,31,0.39776,2376000,0,0,0,,
amstsh_size1000_rep2,1000,2,heuristic_filtering,23595371,tcn617,genoa,12.8024,317,225,0,154.723,14.3088,0.005412,60,0.394732,2559273,0,0,0,,
amstsh_size400000_rep1,400000,1,data_splitting,23595381,tcn602,genoa,31.6858,240,192,0,1.58496,46.8454,0.000439,84,0.33631,2437859,0,0,0,,
amstsh_size400000_rep1,400000,1,string_normalization,23595383,tcn679,genoa,314.612,616.563,450.026,0,298.915,2.97269,0.000109,97,0.30929,2376000,0,0,0,,
amstsh_size400000_rep1,400000,1,heuristic_filtering,23595385,tcn669,genoa,2348.27,454.247,336.51,0,50.5358,0.624917,0.01219,98,0.360347,2376000,0,0,0,,
amstsh_size400000_rep2,400000,2,data_splitting,23595395,tcn602,genoa,28.4998,291,230,0,0.137195,52.0824,0.000484,93,0.33212,2427805,0,0,0,,
amstsh_size400000_rep2,400000,2,string_normalization,23595397,tcn666,genoa,322.501,390,305,0,118.159,2.89998,0.000106,96,0.312683,2389198,0,0,0,,
amstsh_size400000_rep2,400000,2,heuristic_filtering,23595399,tcn734,genoa,2386.18,369,292,0,118.641,0.615008,0.011962,96,0.364446,2376147,0,0,0,,
amst_size100000_rep1,100000,1,data_splitting,23594546,tcn761,genoa,17.7615,262.519,194.696,0,0.083835,23.594,0.000197,41,0.340861,2376000,0,0,0,,
amst_size100000_rep1,100000,1,string_normalization,23594548,tcn1010,genoa,103.357,267.599,211.478,0,0.079116,2.44054,8.3e-05,75,0.309181,2376000,0,0,0,,
amst_size100000_rep1,100000,1,heuristic_filtering,23594550,tcn1187,genoa,605.229,302.087,224.407,0,0.259326,0.833896,0.01189,95,0.359696,2376000,0,0,0,,
amst_size100000_rep2,100000,2,data_splitting,23594560,tcn811,genoa,12.0164,301.719,211.623,0,0.416278,34.873,0.000292,60,0.336513,2376000,0,0,0,,
amst_size100000_rep2,100000,2,string_normalization,23594562,tcn1011,genoa,85.1474,305.457,226.583,0,0.023078,2.96224,0.000101,92,0.311631,2376000,0,0,0,,
amst_size100000_rep2,100000,2,heuristic_filtering,23594565,tcn1001,genoa,607.95,307.796,227.601,0,0.219735,0.830165,0.011829,96,0.36036,2376000,0,0,0,,
amst_size1000_rep1,1000,1,data_splitting,23594577,tcn705,genoa,9.9653,222.644,179.106,0,1.00371,4.46718,8e-06,11,0.553157,2376000,0,0,0,,
amst_size1000_rep1,1000,1,string_normalization,23594579,tcn1012,genoa,12.9223,208.135,165.313,0,0.183408,1.9377,1e-05,13,0.404953,2376000,0,0,0,,
amst_size1000_rep1,1000,1,heuristic_filtering,23594581,tcn1185,genoa,22.6518,285.686,199.774,0,0.479714,8.08768,0.003026,34,0.39681,2376000,0,0,0,,
amst_size1000_rep2,1000,2,data_splitting,23594591,tcn708,genoa,23.5147,224.352,161.482,0,0,1.89441,3e-06,4,0.551353,2376000,0,0,0,,
amst_size1000_rep2,1000,2,string_normalization,23594593,tcn1016,genoa,11.9912,220.933,168.667,0,0.168877,2.08689,1.1e-05,14,0.402393,2376000,0,0,0,,
amst_size1000_rep2,1000,2,heuristic_filtering,23594610,tcn993,genoa,23.3509,271.185,193.402,0,0.395161,7.84554,0.002965,33,0.391966,2376000,0,0,0,,
amst_size1400000_rep1,1400000,1,data_splitting,23594620,tcn811,genoa,99.3404,300.318,222.398,0,0.498716,44.4696,0.000487,92,0.336226,2376000,0,0,0,,
amst_size1400000_rep1,1400000,1,string_normalization,23594622,tcn1004,genoa,944.201,289.124,228.728,0,0.120223,2.85873,0.000125,97,0.314304,2376000,0,0,0,,
