slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amd_n1_size1000_rep1,1000,1,data_splitting,23841931,tcn1101,genoa,3.96411,261.172,82.4193,0,0.21506,13.2193,2.1e-05,27,0.522564,1188000,0,0,0,,
amd_n1_size1000_rep1,1000,1,string_normalization,23841933,tcn760,genoa,5.16319,973.486,380.296,0,49.1196,4.94439,2.55e-05,33.5,0.411114,2376000,0,0,0,,
amd_n1_size1000_rep1,1000,1,heuristic_filtering,23841935,tcn762,genoa,12.9074,1081.88,401.054,0,215.06,14.3289,0.0054485,60,0.392586,2.47999e+06,0,0,0,,
amd_n1_size1000_rep1,1000,1,deduplication,23841937,tcn760,genoa,37.4663,786.398,167.443,0,33.4668,7.88924,2.47586e-05,32.4828,0.567778,2461403,0,0,0,,
amd_n1_size1000_rep2,1000,2,data_splitting,23841962,tcn585,genoa,3.70114,756.289,225.538,0,27.1193,13.5233,2.3e-05,27.5,0.512873,2376000,0,0,0,,
amd_n1_size1000_rep2,1000,2,string_normalization,23841964,tcn777,genoa,6.85026,731.902,321.999,0,192.217,5.3932,2.75e-05,37,0.40989,2376000,0,0,0,,
amd_n1_size1000_rep2,1000,2,heuristic_filtering,23841966,tcn759,genoa,13.6465,852.583,337.526,0,85.236,14.6006,0.0056095,61,0.392807,2376000,0,0,0,,
amd_n1_size1000_rep2,1000,2,deduplication,23841973,tcn1089,genoa,71.7813,866.358,211.164,0,17.5763,5.98519,1.70882e-05,24.4118,0.568611,2.56515e+06,0,0,0,,
amd_n1_size1000_rep3,1000,3,data_splitting,23842010,tcn768,genoa,4.47512,402.136,246.161,0,42.7793,13.7609,2.45e-05,28.5,0.52674,2376000,0,0,0,,
amd_n1_size1000_rep3,1000,3,string_normalization,23842012,tcn758,genoa,3.37311,1056.12,296.089,0,205.195,7.70172,3.95e-05,49.5,0.390641,2.49959e+06,0,0,0,,
amd_n1_size1000_rep3,1000,3,heuristic_filtering,23842014,tcn783,genoa,12.2494,486.019,195.126,0,5.29378,15.4911,0.006187,64.5,0.390709,2402298,0,0,0,,
amd_n1_size1000_rep3,1000,3,deduplication,23842016,tcn528,genoa,10.2294,3289.96,252.088,0,65.5633,8.10546,1.86471e-05,32.7059,0.573363,2.27612e+06,0,0,0,,
amd_n1_size10000_rep1,10000,1,data_splitting,23841820,tcn801,genoa,6.45723,622.313,276.302,0,8.17986,9.35129,6.75e-05,26.5,0.426333,2376000,0,0,0,,
amd_n1_size10000_rep1,10000,1,string_normalization,23841822,tcn801,genoa,13.7885,644.239,275.9,0,54.8728,3.78328,7.5e-05,71,0.322743,2376000,0,0,0,,
amd_n1_size10000_rep1,10000,1,heuristic_filtering,23841824,tcn1086,genoa,67.06,797.525,317.041,0,93.353,3.22755,0.0108265,91,0.362,2376000,0,0,0,,
amd_n1_size10000_rep1,10000,1,deduplication,23841826,tcn587,genoa,49.8891,1552.41,274.269,0,82.0267,5.44748,1.94688e-05,25.9062,0.545055,2.3798e+06,0,0,0,,
amd_n1_size10000_rep2,10000,2,data_splitting,23841851,tcn1046,genoa,6.12522,929.412,383.723,0,166.777,12.4591,8.95e-05,36.5,0.421076,2865502,0,0,0,,
amd_n1_size10000_rep2,10000,2,string_normalization,23841853,tcn1058,genoa,14.4254,804.745,351.611,0,60.9594,3.40917,6.65e-05,64.5,0.325893,2376000,0,0,0,,
amd_n1_size10000_rep2,10000,2,heuristic_filtering,23841877,tcn1095,genoa,70.4897,873.173,342.73,0,181.344,3.16289,0.0108225,88.5,0.361279,2376000,0,0,0,,
amd_n1_size10000_rep2,10000,2,deduplication,23842161,tcn1241,genoa,14.5964,2762.28,257.23,0,77.8793,7.61496,2.24412e-05,33.3235,0.541122,2.39253e+06,0,0,0,,
amd_n1_size10000_rep3,10000,3,data_splitting,23841900,tcn1086,genoa,5.43316,352.764,150,0,2.78858,13.0651,9.25e-05,37,0.41689,3.00612e+06,0,0,0,,
amd_n1_size10000_rep3,10000,3,string_normalization,23841904,tcn1101,genoa,13.2004,601.413,245.951,0,8.78695,3.96631,7.75e-05,74.5,0.323392,2376000,0,0,0,,
