slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amstsh_size100000_rep1,100000,1,data_splitting,23595323,tcn602,genoa,11.283301,268.805023,213.588277,0.000000,0.000000,37.138855,0.000312,65,0.342490,2376000,0,0.000000,0.000000,,
amstsh_size100000_rep1,100000,1,string_normalization,23595325,tcn617,genoa,80.733644,526.000000,401.000000,0.000000,318.132590,3.123894,0.000106,97,0.311281,2397523,0,0.000000,0.000000,,
amstsh_size100000_rep1,100000,1,heuristic_filtering,23595327,tcn617,genoa,598.190130,648.463054,487.711892,0.000000,373.272058,0.843690,0.011962,97,0.362737,2376000,0,0.000000,0.000000,,
amstsh_size100000_rep2,100000,2,data_splitting,23595337,tcn617,genoa,9.988327,610.502735,500.500280,0.000000,408.444144,41.953857,0.000352,74,0.342215,2376000,0,0.000000,0.000000,,
amstsh_size100000_rep2,100000,2,string_normalization,23595340,tcn627,genoa,80.464014,702.415734,536.124957,0.000000,417.376386,3.134367,0.000107,98,0.314258,2376000,0,0.000000,0.000000,,
amstsh_size100000_rep2,100000,2,heuristic_filtering,23595342,tcn627,genoa,593.410221,689.357297,544.151946,0.000000,283.075497,0.850480,0.012112,97,0.360173,2376000,0,0.000000,0.000000,,
amstsh_size1000_rep1,1000,1,data_splitting,23595353,tcn627,genoa,4.806180,781.868450,517.364933,0.000000,506.202857,9.262444,0.000017,21,0.534182,2376000,0,0.000000,0.000000,,
amstsh_size1000_rep1,1000,1,string_normalization,23595355,tcn669,genoa,4.807167,346.842833,344.274208,0.000000,10.341790,5.205686,0.000027,36,0.398531,2376000,0,0.000000,0.000000,,
amstsh_size1000_rep1,1000,1,heuristic_filtering,23595357,tcn671,genoa,13.530409,597.619359,465.098077,0.000000,197.496260,13.538903,0.005044,57,0.393680,2376000,0,0.000000,0.000000,,
amstsh_size1000_rep2,1000,2,data_splitting,23595367,tcn602,genoa,1.063028,279.136580,230.776531,0.000000,0.000000,41.866623,0.000072,83,0.513426,2376000,0,0.000000,0.000000,,
amstsh_size1000_rep2,1000,2,string_normalization,23595369,tcn679,genoa,5.563164,555.242505,459.422972,0.000000,238.519418,4.498256,0.000022,31,0.397760,2376000,0,0.000000,0.000000,,
amstsh_size1000_rep2,1000,2,heuristic_filtering,23595371,tcn617,genoa,12.802419,317.000000,225.000000,0.000000,154.723390,14.308805,0.005412,60,0.394732,2559273,0,0.000000,0.000000,,
amstsh_size400000_rep1,400000,1,data_splitting,23595381,tcn602,genoa,31.685845,240.000000,192.000000,0.000000,1.584959,46.845406,0.000439,84,0.336310,2437859,0,0.000000,0.000000,,
amstsh_size400000_rep1,400000,1,string_normalization,23595383,tcn679,genoa,314.612315,616.562947,450.025995,0.000000,298.915359,2.972695,0.000109,97,0.309290,2376000,0,0.000000,0.000000,,
