slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amd_n1_size10000_rep1,10000,1,data_splitting,23841820,tcn801,genoa,5.386190,294.196567,233.827416,0.000000,3.682323,10.196956,0.000074,28,0.424468,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,string_normalization,23841822,tcn801,genoa,10.807378,393.004143,295.809213,0.000000,101.794088,4.241210,0.000084,79,0.322012,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,heuristic_filtering,23841824,tcn1086,genoa,67.059970,391.358222,303.109455,0.000000,66.591314,3.169037,0.010611,89,0.361931,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23841826,tcn587,genoa,13.080538,422.026154,314.653485,0.000000,16.545792,5.480544,0.000065,77,0.322089,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842103,tcn743,genoa,4.320152,459.084399,375.537060,0.000000,321.824686,3.227431,0.000006,13,0.567603,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842104,tcn749,genoa,2.980087,653.622841,417.160303,0.000000,224.375289,4.678731,0.000010,18,0.560034,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23841832,tcn758,genoa,4.091134,599.975655,457.777677,0.000000,407.818414,9.949512,0.000100,45,0.378016,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842105,tcn759,genoa,2.837105,846.466097,470.928599,0.000000,134.924109,4.914509,0.000012,20,0.564069,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842106,tcn760,genoa,0.867033,619.376656,412.455716,0.000000,0.000000,16.067898,0.000033,62,0.550761,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842118,tcn760,genoa,1.628061,537.000000,323.000000,0.000000,7.579738,8.557039,0.000022,32,0.546114,3868272,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842117,tcn760,genoa,2.605098,0.000000,0.000000,0.000000,0.000000,5.352175,0.000011,20,0.561410,0,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842107,tcn762,genoa,0.690025,755.523351,395.700486,0.000000,357.902488,20.189709,0.000050,76,0.562955,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842119,tcn762,genoa,3.924143,303.009024,379.665024,0.000000,352.998019,3.553121,0.000008,14,0.563090,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23841830,tcn786,genoa,2.608077,888.051736,380.898428,0.000000,312.962792,5.189447,0.000012,19,0.565528,2376000,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842122,tcn790,genoa,2.435079,0.000000,0.000000,0.000000,0.000000,5.725924,0.000012,26,0.567923,0,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842121,tcn790,genoa,3.217104,81.000000,88.000000,0.000000,1.092030,4.334013,0.000009,19,0.550587,2824891,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842123,tcn790,genoa,3.425111,82.000000,99.000000,0.000000,0.546015,4.070808,0.000009,18,0.566778,3276610,0,0.000000,0.000000,,
amd_n1_size10000_rep1,10000,1,deduplication,23842120,tcn790,genoa,3.211104,81.000000,89.000000,0.000000,0.366157,4.342112,0.000009,19,0.558635,2791890,0,0.000000,0.000000,,
amd_n1_size10000_rep2,10000,2,data_splitting,23841851,tcn1046,genoa,6.125219,596.075513,446.445480,0.000000,327.875198,8.966657,0.000064,26,0.425635,2376000,0,0.000000,0.000000,,
