slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amd_n1_size1000_rep1,1000,1,data_splitting,23841931,tcn1101,genoa,2.927077,0.000000,0.000000,0.000000,0.000000,15.208675,0.000024,32,0.529996,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,string_normalization,23841933,tcn760,genoa,5.163195,480.323013,400.325245,0.000000,52.084995,4.846719,0.000025,32,0.403943,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,heuristic_filtering,23841935,tcn762,genoa,12.663459,510.530848,393.108372,0.000000,368.424640,14.465704,0.005558,61,0.393867,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23841937,tcn760,genoa,4.580172,278.000000,172.000000,0.000000,17.759814,10.344566,0.000030,57,0.427591,3030702,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842287,tcn780,genoa,2.005066,96.000000,79.000000,0.000000,12.830551,6.762413,0.000016,28,0.587449,2406079,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842286,tcn780,genoa,2.775091,0.000000,0.000000,0.000000,0.000000,4.890163,0.000012,19,0.569927,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842290,tcn786,genoa,0.601018,384.605786,384.607256,0.000000,333.200714,22.560328,0.000050,83,0.576462,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23841941,tcn786,genoa,4.286127,670.037692,395.953858,0.000000,157.806492,3.156279,0.000007,12,0.584033,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23841943,tcn786,genoa,3.760111,308.106524,383.371532,0.000000,340.578000,6.205692,0.000019,24,0.515490,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842199,tcn790,genoa,3.044094,0.000000,0.000000,0.000000,0.000000,4.458025,0.000011,20,0.552365,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842200,tcn790,genoa,4.088126,63.000000,52.000000,0.000000,0.498768,3.319527,0.000008,15,0.587339,2435474,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842198,tcn790,genoa,4.042125,126.000000,99.000000,0.000000,0.512726,3.357304,0.000007,15,0.582047,4714128,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842197,tcn790,genoa,4.072125,63.000000,51.000000,0.000000,0.178783,3.332571,0.000007,15,0.574907,2403397,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842292,tcn790,genoa,1.615052,265.000000,155.000000,0.000000,0.137443,8.395452,0.000017,32,0.578372,3837363,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842294,tcn790,genoa,0.573018,0.000000,0.000000,0.000000,0.000000,23.662720,0.000055,87,0.571911,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842291,tcn790,genoa,0.576019,0.000000,0.000000,0.000000,0.000000,23.539431,0.000057,86,0.568116,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23842293,tcn790,genoa,2.587082,0.000000,0.000000,0.000000,0.000000,5.245543,0.000012,20,0.566523,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,23841939,tcn801,genoa,1.596057,179.000000,186.000000,0.000000,3.410326,8.495360,0.000021,32,0.570107,3792231,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,data_splitting,24207999,tcn1181,genoa,3.964110,261.171835,164.838684,0.000000,0.430121,11.229999,0.000018,22,0.515132,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,string_normalization,24208001,tcn1028,genoa,4.963157,513.039661,360.267220,0.000000,46.154121,5.042068,0.000026,35,0.418285,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,heuristic_filtering,24208003,tcn1028,genoa,12.907408,581.000000,409.000000,0.000000,61.695379,14.192094,0.005339,59,0.391304,2583981,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208011,tcn1069,genoa,0.608018,0.000000,0.000000,0.000000,0.000000,22.230658,0.000042,83,0.577925,0,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208246,tcn1102,genoa,3.834096,207.952632,273.105853,0.000000,24.567023,3.539465,0.000007,16,0.591811,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208247,tcn1103,genoa,4.939136,330.479546,358.141568,0.000000,23.882761,2.747577,0.000007,12,0.608051,2400000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208248,tcn1110,genoa,2.243072,255.201017,255.347999,0.000000,3.163617,6.050066,0.000016,27,0.593417,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208292,tcn1143,genoa,1.608050,356.000000,207.000000,0.000000,39.076822,8.432015,0.000019,40,0.610863,3820726,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208293,tcn1144,genoa,4.870150,241.000000,254.000000,0.000000,1.481272,2.786494,0.000006,13,0.605498,3341947,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208299,tcn1145,genoa,1.782052,158.000000,100.000000,0.000000,1.911315,7.608695,0.000019,35,0.597047,4234155,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208300,tcn1145,genoa,3.813110,108.000000,133.000000,0.000000,0.445616,3.558946,0.000007,13,0.580040,4236529,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208298,tcn1145,genoa,4.930143,106.000000,107.000000,0.000000,0.698489,2.752591,0.000006,13,0.587191,3436983,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208297,tcn1145,genoa,3.665106,343.000000,361.000000,0.000000,4.039533,3.702660,0.000008,14,0.574681,3792205,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208008,tcn1146,genoa,3.948113,255.000000,183.000000,0.000000,2.346191,3.437252,0.000008,16,0.590013,4490768,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208245,tcn591,genoa,37.466298,322.247962,236.293431,0.000000,1.271453,0.363381,0.000001,1,0.601272,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208013,tcn691,genoa,2.050052,208.041682,216.752813,0.000000,0.005854,11.382233,0.000032,47,0.510675,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep1,1000,1,deduplication,24208006,tcn972,genoa,3.799152,334.547961,213.271261,0.000000,0.732561,12.470430,0.000211,67,0.424427,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,data_splitting,23841962,tcn585,genoa,3.701143,509.548065,252.644538,0.000000,53.946485,12.027898,0.000021,26,0.516887,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,string_normalization,23841964,tcn777,genoa,6.850259,628.329318,424.265334,0.000000,384.434237,3.653084,0.000018,25,0.421167,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,heuristic_filtering,23841966,tcn759,genoa,13.646504,617.198521,457.289454,0.000000,169.609301,13.423671,0.005127,56,0.392043,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23841973,tcn1089,genoa,4.374125,291.203794,251.757826,0.000000,5.754678,3.092784,0.000007,13,0.587007,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842391,tcn763,genoa,2.613104,893.559169,402.171856,0.000000,46.454628,5.193307,0.000013,20,0.600106,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23841971,tcn783,genoa,1.911063,115.000000,155.000000,0.000000,4.091089,7.095057,0.000018,28,0.574096,4540685,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842325,tcn790,genoa,1.590050,71.000000,70.000000,0.000000,0.000000,8.527457,0.000018,32,0.575270,3777958,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842323,tcn790,genoa,2.903092,0.000000,0.000000,0.000000,0.000000,4.674548,0.000010,18,0.577090,0,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842324,tcn790,genoa,3.663116,264.000000,184.000000,0.000000,0.472459,3.704674,0.000009,14,0.559283,3865875,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842326,tcn790,genoa,3.574114,299.000000,349.000000,0.000000,0.438099,3.796926,0.000009,14,0.574527,3666284,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842359,tcn790,genoa,1.602050,141.000000,87.000000,0.000000,0.368303,8.463582,0.000019,32,0.573907,3806470,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842357,tcn790,genoa,2.586081,0.000000,0.000000,0.000000,0.000000,5.247571,0.000012,20,0.583894,0,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842356,tcn790,genoa,3.587112,275.000000,174.000000,0.000000,0.774190,3.783168,0.000009,14,0.561367,3699546,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842358,tcn790,genoa,3.560111,293.000000,342.000000,0.000000,2.464313,3.811860,0.000010,14,0.556800,3630642,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23841975,tcn790,genoa,1.505047,75.000000,85.000000,0.000000,2.380560,15.496212,0.000046,64,0.518276,3575991,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23841968,tcn801,genoa,5.988217,254.146711,235.905902,0.000000,2.497824,7.912117,0.000030,44,0.430620,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842328,tcn801,genoa,0.725026,0.000000,0.000000,0.000000,0.000000,18.701471,0.000044,74,0.579340,0,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842327,tcn801,genoa,2.753100,444.051129,235.386189,0.000000,11.081710,4.929218,0.000010,19,0.575504,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842360,tcn801,genoa,1.583055,343.000000,186.000000,0.000000,6.797013,8.565139,0.000020,32,0.580319,3761338,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,23842361,tcn801,genoa,3.574125,660.000000,365.000000,0.000000,6.618772,3.796912,0.000009,14,0.574049,3661544,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,data_splitting,24208024,tcn1181,genoa,2.964082,308.096348,198.430748,0.000000,0.292173,15.018800,0.000025,29,0.508860,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,string_normalization,24208026,tcn676,genoa,3.508123,202.245240,219.732942,0.000000,0.000000,7.133325,0.000037,49,0.398613,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,heuristic_filtering,24208029,tcn972,genoa,11.609465,276.686153,217.762354,0.000000,0.862779,15.777499,0.006092,66,0.393571,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208039,tcn1099,genoa,1.316034,416.000000,206.000000,0.000000,142.809107,17.721823,0.000053,72,0.523827,3126896,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208301,tcn1146,genoa,2.956085,0.000000,0.000000,0.000000,0.000000,4.590755,0.000011,22,0.597808,0,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208302,tcn1146,genoa,2.579074,0.000000,0.000000,0.000000,0.000000,5.261860,0.000013,20,0.555514,0,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208303,tcn1146,genoa,2.582074,0.000000,0.000000,0.000000,0.000000,5.255715,0.000011,19,0.562273,0,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208305,tcn1148,genoa,3.981092,409.000000,305.000000,0.000000,0.000000,3.408781,0.000008,16,0.598585,4628554,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208304,tcn1148,genoa,4.716109,403.000000,421.000000,0.000000,0.475678,2.877511,0.000007,12,0.597676,3191041,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208306,tcn1152,genoa,5.212190,310.849714,248.875882,0.000000,2.278011,2.603637,0.000006,11,0.597240,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208307,tcn1153,genoa,71.781316,322.081946,234.971669,0.000000,2.745900,0.189668,0.000000,0,0.595633,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208037,tcn1183,genoa,1.131042,449.779053,364.785987,0.000000,160.562907,11.950611,0.000023,47,0.575620,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208353,tcn643,genoa,3.844127,551.779864,342.287804,0.000000,148.585224,3.530228,0.000008,15,0.589160,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208354,tcn659,genoa,2.652107,663.798079,307.590675,0.000000,3.285821,5.116928,0.000012,22,0.587679,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208357,tcn816,genoa,1.830063,317.589613,224.977196,0.000000,0.000000,7.409080,0.000017,32,0.619768,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208355,tcn816,genoa,3.592122,285.000000,174.000000,0.000000,0.380117,3.777889,0.000009,14,0.569433,3709061,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208356,tcn816,genoa,3.582123,571.000000,346.000000,0.000000,0.460648,3.788436,0.000008,14,0.560739,3685301,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208358,tcn829,genoa,16.763542,319.683492,236.568055,0.000000,2.727375,0.810443,0.000002,3,0.593782,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208034,tcn837,genoa,4.818164,239.542996,243.432727,0.000000,2.159194,2.816556,0.000007,12,0.585133,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep2,1000,2,deduplication,24208032,tcn973,genoa,8.468309,569.974376,401.866208,0.000000,40.930079,5.594689,0.000093,33,0.441445,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,data_splitting,23842010,tcn768,genoa,2.533083,301.878096,296.625176,0.000000,85.558565,17.574240,0.000030,37,0.529880,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,string_normalization,23842012,tcn758,genoa,3.373111,799.676201,386.178313,0.000000,340.531664,7.418840,0.000038,49,0.392468,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,heuristic_filtering,23842014,tcn783,genoa,12.249404,173.000000,124.000000,0.000000,4.804666,14.954739,0.005936,62,0.388775,2428596,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842016,tcn528,genoa,6.303135,334.092546,269.839112,0.000000,11.023953,7.516932,0.000023,43,0.432929,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842494,tcn749,genoa,1.283038,511.550710,422.880937,0.000000,291.262402,10.567954,0.000025,42,0.597903,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842532,tcn749,genoa,2.579075,416.508808,414.118420,0.000000,316.299901,5.261858,0.000013,20,0.570737,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842495,tcn758,genoa,1.011038,274.000000,191.000000,0.000000,360.898015,13.411044,0.000033,56,0.592205,2402226,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842496,tcn758,genoa,2.966113,0.000000,0.000000,0.000000,0.000000,4.575229,0.000009,19,0.584609,0,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842534,tcn758,genoa,0.581020,0.000000,0.000000,0.000000,0.000000,23.336832,0.000057,89,0.584257,0,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842533,tcn758,genoa,2.582089,315.785064,323.435342,0.000000,116.609843,5.255715,0.000011,20,0.573914,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842020,tcn758,genoa,0.815029,517.049087,323.643351,0.000000,106.574083,16.584248,0.000033,67,0.592569,2376000,0,0.000000,0.000000,,
amd_n1_size1000_rep3,1000,3,deduplication,23842497,tcn759,genoa,2.193081,419.651124,439.363365,0.000000,206.942342,6.187972,0.000012,24,0.575671,2376000,0,0.000000,0.000000,,
