slug,size,replicate,stage,job_id,nodename,partition,time_sec,dc_node_power_w,pck_power_w,dram_power_w,mem_gbs,io_mbs,cpu_gflops,cpu_util,cpi,avg_cpufreq_khz,l3_misses,gpu0_power_w,gpu0_gflops,n_in,n_out
amstsh_size100000_rep1,100000,1,data_splitting,23595323,tcn602,genoa,11.2833,268.805,213.588,0,0,37.1389,0.000312,65,0.34249,2376000,0,0,0,,
amstsh_size100000_rep1,100000,1,string_normalization,23595325,tcn617,genoa,80.7336,526,401,0,318.133,3.12389,0.000106,97,0.311281,2397523,0,0,0,,
amstsh_size100000_rep1,100000,1,heuristic_filtering,23595327,tcn617,genoa,598.19,648.463,487.712,0,373.272,0.84369,0.011962,97,0.362737,2376000,0,0,0,,
amstsh_size100000_rep2,100000,2,data_splitting,23595337,tcn617,genoa,9.98833,610.503,500.5,0,408.444,41.9539,0.000352,74,0.342215,2376000,0,0,0,,
amstsh_size100000_rep2,100000,2,string_normalization,23595340,tcn627,genoa,80.464,702.416,536.125,0,417.376,3.13437,0.000107,98,0.314258,2376000,0,0,0,,
amstsh_size100000_rep2,100000,2,heuristic_filtering,23595342,tcn627,genoa,593.41,689.357,544.152,0,283.075,0.85048,0.012112,97,0.360173,2376000,0,0,0,,
amstsh_size1000_rep1,1000,1,data_splitting,23595353,tcn627,genoa,4.80618,781.868,517.365,0,506.203,9.26244,1.7e-05,21,0.534182,2376000,0,0,0,,
amstsh_size1000_rep1,1000,1,string_normalization,23595355,tcn669,genoa,4.80717,346.843,344.274,0,10.3418,5.20569,2.7e-05,36,0.398531,2376000,0,0,0,,
amstsh_size1000_rep1,1000,1,heuristic_filtering,23595357,tcn671,genoa,13.5304,597.619,465.098,0,197.496,13.5389,0.005044,57,0.39368,2376000,0,0,0,,
amstsh_size1000_rep2,1000,2,data_splitting,23595367,tcn602,genoa,1.06303,279.137,230.777,0,0,41.8666,7.2e-05,83,0.513426,2376000,0,0,0,,
amstsh_size1000_rep2,1000,2,string_normalization,23595369,tcn679,genoa,5.56316,555.243,459.423,0,238.519,4.49826,2.2e-05,31,0.39776,2376000,0,0,0,,
amstsh_size1000_rep2,1000,2,heuristic_filtering,23595371,tcn617,genoa,12.8024,317,225,0,154.723,14.3088,0.005412,60,0.394732,2559273,0,0,0,,
amstsh_size400000_rep1,400000,1,data_splitting,23595381,tcn602,genoa,31.6858,240,192,0,1.58496,46.8454,0.000439,84,0.33631,2437859,0,0,0,,
amstsh_size400000_rep1,400000,1,string_normalization,23595383,tcn679,genoa,314.612,616.563,450.026,0,298.915,2.97269,0.000109,97,0.30929,2376000,0,0,0,,
amstsh_size400000_rep1,400000,1,heuristic_filtering,23595385,tcn669,genoa,2348.27,454.247,336.51,0,50.5358,0.624917,0.01219,98,0.360347,2376000,0,0,0,,
amstsh_size400000_rep2,400000,2,data_splitting,23595395,tcn602,genoa,28.4998,291,230,0,0.137195,52.0824,0.000484,93,0.33212,2427805,0,0,0,,
amstsh_size400000_rep2,400000,2,string_normalization,23595397,tcn666,genoa,322.501,390,305,0,118.159,2.89998,0.000106,96,0.312683,2389198,0,0,0,,
amstsh_size400000_rep2,400000,2,heuristic_filtering,23595399,tcn734,genoa,2386.18,369,292,0,118.641,0.615008,0.011962,96,0.364446,2376147,0,0,0,,
amst_size100000_rep1,100000,1,data_splitting,23594546,tcn761,genoa,17.7615,262.519,194.696,0,0.083835,23.594,0.000197,41,0.340861,2376000,0,0,0,,
amst_size100000_rep1,100000,1,string_normalization,23594548,tcn1010,genoa,103.357,267.599,211.478,0,0.079116,2.44054,8.3e-05,75,0.309181,2376000,0,0,0,,
amst_size100000_rep1,100000,1,heuristic_filtering,23594550,tcn1187,genoa,605.229,302.087,224.407,0,0.259326,0.833896,0.01189,95,0.359696,2376000,0,0,0,,
amst_size100000_rep2,100000,2,data_splitting,23594560,tcn811,genoa,12.0164,301.719,211.623,0,0.416278,34.873,0.000292,60,0.336513,2376000,0,0,0,,
amst_size100000_rep2,100000,2,string_normalization,23594562,tcn1011,genoa,85.1474,305.457,226.583,0,0.023078,2.96224,0.000101,92,0.311631,2376000,0,0,0,,
amst_size100000_rep2,100000,2,heuristic_filtering,23594565,tcn1001,genoa,607.95,307.796,227.601,0,0.219735,0.830165,0.011829,96,0.36036,2376000,0,0,0,,
amst_size1000_rep1,1000,1,data_splitting,23594577,tcn705,genoa,9.9653,222.644,179.106,0,1.00371,4.46718,8e-06,11,0.553157,2376000,0,0,0,,
amst_size1000_rep1,1000,1,string_normalization,23594579,tcn1012,genoa,12.9223,208.135,165.313,0,0.183408,1.9377,1e-05,13,0.404953,2376000,0,0,0,,
